rank	candidate	layer	stage	candidate_full_shape	reference_full_shape	candidate_dtype	reference_dtype	exact	different_elements	elements	reference_norm	difference_norm	zero_reference_status	rel_l2	max_abs	candidate_nonfinite	reference_nonfinite
0	diagnostic-B2	9	layer_entry	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4703	5120	10.29256820678711	0.21647696197032928	not_zero	0.02103235631973567	0.013671875	0	0
0	diagnostic-B2	9	attn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4559	5120	28.068960189819336	0.40736106038093567	not_zero	0.01451286608503176	0.0234375	0	0
0	diagnostic-B2	9	attn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4418	5120	1.8644509315490723	0.024247393012046814	not_zero	0.013005111908148183	0.001556396484375	0	0
0	diagnostic-B2	9	attn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4418	5120	1.8644509315490723	0.024247393012046814	not_zero	0.013005111908148183	0.001556396484375	0	0
0	diagnostic-B2	9	attn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4466	5120	44.96403503417969	0.7082379460334778	not_zero	0.01575120972784374	0.0390625	0	0
0	diagnostic-B2	9	ffn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4482	5120	32.66891098022461	0.4173097610473633	not_zero	0.012773910991400123	0.0238037109375	0	0
0	diagnostic-B2	9	ffn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4471	5120	16.351778030395508	0.21107736229896545	not_zero	0.012908526638913776	0.0119171142578125	0	0
0	diagnostic-B2	9	ffn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4471	5120	16.351778030395508	0.21107736229896545	not_zero	0.012908526638913776	0.0119171142578125	0	0
0	diagnostic-B2	9	ffn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4633	5120	11.581546783447266	0.23077161610126495	not_zero	0.019925802694255958	0.015625	0	0
0	diagnostic-B2	10	layer_entry	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4633	5120	11.581546783447266	0.23077161610126495	not_zero	0.019925802694255958	0.015625	0	0
